2026-07-29T17:10:18 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePollFor3dsDetailsQuery status=200
2026-07-29T17:10:18 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePollFor3dsDetailsQuery status=200
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useSimpleCashPositionAndBalanceSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useUserCefiBalancesSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useUserPerformanceSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useUserPerformanceSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useSimpleCryptoPositionAndBalanceSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T17:10:19 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T17:10:20 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:22 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
