2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useOpenOrdersFragmentQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useAssetHistoryQuery status=200
2026-07-29T19:06:56 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:06:56 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=DepositInputQuery status=200
2026-07-29T19:06:57 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=DepositTriggerV2Query status=200
2026-07-29T19:06:57 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=DepositInputQuery status=200
2026-07-29T19:06:58 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendPreloadableQuery status=200
2026-07-29T19:06:58 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:06:58 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T19:06:58 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T19:06:58 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T19:06:58 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useHasBtcLightningSupportQuery status=200
2026-07-29T19:06:58 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendFlowSystemAlertWithWaterfallQuery status=200
2026-07-29T19:06:59 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T19:06:59 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useWarmSardineRiskEvaluationMutation status=200
2026-07-29T19:07:00 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:02 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useExpandRecipientSharedQuery status=200
2026-07-29T19:07:03 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:03 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendRefetchableQuery status=200
2026-07-29T19:07:04 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendRefetchableQuery status=200
